Second,Volt
-3.9799996e-02,1.40000e+00,
-3.9699994e-02,1.40000e+00,
-3.9599992e-02,1.40000e+00,
-3.9499991e-02,1.60000e+00,
-3.9399989e-02,1.60000e+00,
-3.9299987e-02,1.60000e+00,
-3.9199986e-02,1.60000e+00,
-3.9099984e-02,1.80000e+00,
-3.8999982e-02,1.80000e+00,
-3.8899980e-02,1.80000e+00,
-3.8799979e-02,1.80000e+00,
-3.8699977e-02,1.60000e+00,
-3.8599975e-02,1.60000e+00,
-3.8499974e-02,1.80000e+00,
-3.8399972e-02,1.60000e+00,
-3.8299970e-02,1.40000e+00,
-3.8199969e-02,1.40000e+00,
-3.8099967e-02,1.40000e+00,
-3.7999965e-02,1.40000e+00,
-3.7899964e-02,1.40000e+00,
-3.7799962e-02,1.40000e+00,
-3.7699960e-02,1.20000e+00,
-3.7599958e-02,1.40000e+00,
-3.7499957e-02,1.00000e+00,
-3.7399955e-02,1.00000e+00,
-3.7299953e-02,7.99999e-01,
-3.7199952e-02,1.00000e+00,
-3.7099950e-02,7.99999e-01,
-3.6999948e-02,7.99999e-01,
-3.6899947e-02,6.00000e-01,
-3.6799945e-02,7.99999e-01,
-3.6699943e-02,6.00000e-01,
-3.6599942e-02,6.00000e-01,
-3.6499940e-02,6.00000e-01,
-3.6399938e-02,6.00000e-01,
-3.6299936e-02,4.00000e-01,
-3.6199935e-02,6.00000e-01,
-3.6099933e-02,1.99999e-01,
-3.5999931e-02,4.00000e-01,
-3.5899930e-02,1.99999e-01,
-3.5799928e-02,1.99999e-01,
-3.5699926e-02,-0.00000e+00,
-3.5599925e-02,1.99999e-01,
-3.5499923e-02,-0.00000e+00,
-3.5399921e-02,-0.00000e+00,
-3.5299920e-02,-2.00001e-01,
-3.5199918e-02,-0.00000e+00,
-3.5099916e-02,-2.00001e-01,
-3.4999914e-02,-2.00001e-01,
-3.4899913e-02,-2.00001e-01,
-3.4799911e-02,-2.00001e-01,
-3.4699909e-02,-2.00001e-01,
-3.4599908e-02,-2.00001e-01,
-3.4499906e-02,-6.00000e-01,
-3.4399904e-02,-2.00001e-01,
-3.4299903e-02,-8.00001e-01,
-3.4199901e-02,-8.00001e-01,
-3.4099899e-02,-8.00001e-01,
-3.3999898e-02,-8.00001e-01,
-3.3899896e-02,-1.00000e+00,
-3.3799894e-02,-1.00000e+00,
-3.3699892e-02,-8.00001e-01,
-3.3599891e-02,-1.00000e+00,
-3.3499889e-02,-1.20000e+00,
-3.3399887e-02,-1.20000e+00,
-3.3299886e-02,-1.20000e+00,
-3.3199884e-02,-1.20000e+00,
-3.3099882e-02,-1.20000e+00,
-3.2999881e-02,-1.20000e+00,
-3.2899879e-02,-1.60000e+00,
-3.2799877e-02,-1.20000e+00,
-3.2699876e-02,-1.60000e+00,
-3.2599874e-02,-1.40000e+00,
-3.2499872e-02,-1.60000e+00,
-3.2399870e-02,-1.60000e+00,
-3.2299869e-02,-1.60000e+00,
-3.2199867e-02,-1.60000e+00,
-3.2099865e-02,-1.80000e+00,
-3.1999864e-02,-1.80000e+00,
-3.1899862e-02,-1.60000e+00,
-3.1799860e-02,-2.00000e+00,
-3.1699859e-02,-1.80000e+00,
-3.1599857e-02,-2.00000e+00,
-3.1499855e-02,-1.80000e+00,
-3.1399854e-02,-2.00000e+00,
-3.1299852e-02,-1.80000e+00,
-3.1199852e-02,-1.80000e+00,
-3.1099852e-02,-1.40000e+00,
-3.0999852e-02,-1.60000e+00,
-3.0899853e-02,-1.00000e+00,
-3.0799853e-02,-1.00000e+00,
-3.0699853e-02,-2.00001e-01,
-3.0599853e-02,-2.00001e-01,
-3.0499853e-02,-0.00000e+00,
-3.0399853e-02,1.99999e-01,
-3.0299854e-02,6.00000e-01,
-3.0199854e-02,6.00000e-01,
-3.0099854e-02,7.99999e-01,
-2.9999854e-02,7.99999e-01,
-2.9899854e-02,1.20000e+00,
-2.9799854e-02,1.20000e+00,
-2.9699855e-02,1.40000e+00,
-2.9599855e-02,1.40000e+00,
-2.9499855e-02,1.60000e+00,
-2.9399855e-02,1.60000e+00,
-2.9299855e-02,1.60000e+00,
-2.9199855e-02,1.60000e+00,
-2.9099856e-02,1.80000e+00,
-2.8999856e-02,1.80000e+00,
-2.8899856e-02,1.60000e+00,
-2.8799856e-02,1.80000e+00,
-2.8699856e-02,1.60000e+00,
-2.8599856e-02,1.60000e+00,
-2.8499857e-02,1.80000e+00,
-2.8399857e-02,1.60000e+00,
-2.8299857e-02,1.40000e+00,
-2.8199857e-02,1.40000e+00,
-2.8099857e-02,1.40000e+00,
-2.7999857e-02,1.40000e+00,
-2.7899858e-02,1.20000e+00,
-2.7799858e-02,1.40000e+00,
-2.7699858e-02,1.00000e+00,
-2.7599858e-02,1.00000e+00,
-2.7499858e-02,1.20000e+00,
-2.7399858e-02,1.00000e+00,
-2.7299859e-02,7.99999e-01,
-2.7199859e-02,1.00000e+00,
-2.7099859e-02,7.99999e-01,
-2.6999859e-02,7.99999e-01,
-2.6899859e-02,6.00000e-01,
-2.6799859e-02,6.00000e-01,
-2.6699860e-02,6.00000e-01,
-2.6599860e-02,6.00000e-01,
-2.6499860e-02,6.00000e-01,
-2.6399860e-02,6.00000e-01,
-2.6299860e-02,4.00000e-01,
-2.6199860e-02,6.00000e-01,
-2.6099861e-02,1.99999e-01,
-2.5999861e-02,1.99999e-01,
-2.5899861e-02,1.99999e-01,
-2.5799861e-02,1.99999e-01,
-2.5699861e-02,-0.00000e+00,
-2.5599862e-02,1.99999e-01,
-2.5499862e-02,-0.00000e+00,
-2.5399862e-02,-2.00001e-01,
-2.5299862e-02,-0.00000e+00,
-2.5199862e-02,-2.00001e-01,
-2.5099862e-02,-2.00001e-01,
-2.4999863e-02,-2.00001e-01,
-2.4899863e-02,-2.00001e-01,
-2.4799863e-02,-2.00001e-01,
-2.4699863e-02,-2.00001e-01,
-2.4599863e-02,-2.00001e-01,
-2.4499863e-02,-6.00000e-01,
-2.4399864e-02,-6.00000e-01,
-2.4299864e-02,-8.00001e-01,
-2.4199864e-02,-8.00001e-01,
-2.4099864e-02,-1.00000e+00,
-2.3999864e-02,-8.00001e-01,
-2.3899864e-02,-1.00000e+00,
-2.3799865e-02,-1.00000e+00,
-2.3699865e-02,-1.20000e+00,
-2.3599865e-02,-1.00000e+00,
-2.3499865e-02,-1.20000e+00,
-2.3399865e-02,-1.20000e+00,
-2.3299865e-02,-1.20000e+00,
-2.3199866e-02,-1.20000e+00,
-2.3099866e-02,-1.20000e+00,
-2.2999866e-02,-1.20000e+00,
-2.2899866e-02,-1.60000e+00,
-2.2799866e-02,-1.20000e+00,
-2.2699866e-02,-1.60000e+00,
-2.2599867e-02,-1.60000e+00,
-2.2499867e-02,-1.40000e+00,
-2.2399867e-02,-1.60000e+00,
-2.2299867e-02,-1.80000e+00,
-2.2199867e-02,-1.60000e+00,
-2.2099867e-02,-1.80000e+00,
-2.1999868e-02,-1.80000e+00,
-2.1899868e-02,-2.00000e+00,
-2.1799868e-02,-2.00000e+00,
-2.1699868e-02,-1.80000e+00,
-2.1599868e-02,-2.00000e+00,
-2.1499868e-02,-2.00000e+00,
-2.1399869e-02,-2.00000e+00,
-2.1299869e-02,-1.80000e+00,
-2.1199869e-02,-1.80000e+00,
-2.1099869e-02,-1.60000e+00,
-2.0999869e-02,-1.40000e+00,
-2.0899870e-02,-1.00000e+00,
-2.0799870e-02,-1.00000e+00,
-2.0699870e-02,-2.00001e-01,
-2.0599870e-02,-2.00001e-01,
-2.0499870e-02,-0.00000e+00,
-2.0399870e-02,-0.00000e+00,
-2.0299871e-02,6.00000e-01,
-2.0199871e-02,6.00000e-01,
-2.0099871e-02,7.99999e-01,
-1.9999871e-02,7.99999e-01,
-1.9899871e-02,1.00000e+00,
-1.9799871e-02,1.20000e+00,
-1.9699872e-02,1.40000e+00,
-1.9599872e-02,1.40000e+00,
-1.9499872e-02,1.60000e+00,
-1.9399872e-02,1.60000e+00,
-1.9299872e-02,1.40000e+00,
-1.9199872e-02,1.60000e+00,
-1.9099873e-02,1.80000e+00,
-1.8999873e-02,1.60000e+00,
-1.8899873e-02,1.80000e+00,
-1.8799873e-02,1.80000e+00,
-1.8699873e-02,1.60000e+00,
-1.8599873e-02,1.80000e+00,
-1.8499874e-02,1.40000e+00,
-1.8399874e-02,1.60000e+00,
-1.8299874e-02,1.40000e+00,
-1.8199874e-02,1.40000e+00,
-1.8099874e-02,1.40000e+00,
-1.7999874e-02,1.40000e+00,
-1.7899875e-02,1.40000e+00,
-1.7799875e-02,1.40000e+00,
-1.7699875e-02,1.20000e+00,
-1.7599875e-02,1.40000e+00,
-1.7499875e-02,1.00000e+00,
-1.7399875e-02,1.00000e+00,
-1.7299876e-02,1.00000e+00,
-1.7199876e-02,1.00000e+00,
-1.7099876e-02,7.99999e-01,
-1.6999876e-02,7.99999e-01,
-1.6899876e-02,6.00000e-01,
-1.6799876e-02,7.99999e-01,
-1.6699877e-02,6.00000e-01,
-1.6599877e-02,6.00000e-01,
-1.6499877e-02,6.00000e-01,
-1.6399877e-02,6.00000e-01,
-1.6299877e-02,6.00000e-01,
-1.6199877e-02,6.00000e-01,
-1.6099878e-02,1.99999e-01,
-1.5999878e-02,1.99999e-01,
-1.5899878e-02,1.99999e-01,
-1.5799878e-02,1.99999e-01,
-1.5699878e-02,1.99999e-01,
-1.5599879e-02,-0.00000e+00,
-1.5499879e-02,1.99999e-01,
-1.5399879e-02,-0.00000e+00,
-1.5299879e-02,-2.00001e-01,
-1.5199879e-02,-0.00000e+00,
-1.5099879e-02,-2.00001e-01,
-1.4999880e-02,-2.00001e-01,
-1.4899880e-02,-2.00001e-01,
-1.4799880e-02,-2.00001e-01,
-1.4699880e-02,-6.00000e-01,
-1.4599880e-02,-2.00001e-01,
-1.4499880e-02,-6.00000e-01,
-1.4399881e-02,-2.00001e-01,
-1.4299881e-02,-8.00001e-01,
-1.4199881e-02,-8.00001e-01,
-1.4099881e-02,-1.00000e+00,
-1.3999881e-02,-8.00001e-01,
-1.3899881e-02,-1.00000e+00,
-1.3799882e-02,-8.00001e-01,
-1.3699882e-02,-1.00000e+00,
-1.3599882e-02,-1.00000e+00,
-1.3499882e-02,-1.20000e+00,
-1.3399882e-02,-1.20000e+00,
-1.3299882e-02,-1.00000e+00,
-1.3199883e-02,-1.20000e+00,
-1.3099883e-02,-1.20000e+00,
-1.2999883e-02,-1.20000e+00,
-1.2899883e-02,-1.40000e+00,
-1.2799883e-02,-1.20000e+00,
-1.2699883e-02,-1.60000e+00,
-1.2599884e-02,-1.60000e+00,
-1.2499884e-02,-1.40000e+00,
-1.2399884e-02,-1.60000e+00,
-1.2299884e-02,-1.80000e+00,
-1.2199884e-02,-1.60000e+00,
-1.2099884e-02,-1.80000e+00,
-1.1999885e-02,-1.80000e+00,
-1.1899885e-02,-1.80000e+00,
-1.1799885e-02,-2.00000e+00,
-1.1699885e-02,-1.80000e+00,
-1.1599885e-02,-2.00000e+00,
-1.1499885e-02,-2.00000e+00,
-1.1399886e-02,-2.00000e+00,
-1.1299886e-02,-1.80000e+00,
-1.1199886e-02,-1.80000e+00,
-1.1099886e-02,-1.40000e+00,
-1.0999886e-02,-1.60000e+00,
-1.0899886e-02,-1.20000e+00,
-1.0799887e-02,-1.00000e+00,
-1.0699887e-02,-6.00000e-01,
-1.0599887e-02,-2.00001e-01,
-1.0499887e-02,-0.00000e+00,
-1.0399887e-02,-0.00000e+00,
-1.0299888e-02,4.00000e-01,
-1.0199888e-02,6.00000e-01,
-1.0099888e-02,7.99999e-01,
-9.9998880e-03,7.99999e-01,
-9.8998882e-03,1.20000e+00,
-9.7998884e-03,1.20000e+00,
-9.6998885e-03,1.40000e+00,
-9.5998887e-03,1.40000e+00,
-9.4998889e-03,1.40000e+00,
-9.3998890e-03,1.40000e+00,
-9.2998892e-03,1.60000e+00,
-9.1998894e-03,1.60000e+00,
-9.0998895e-03,1.80000e+00,
-8.9998897e-03,1.80000e+00,
-8.8998899e-03,1.60000e+00,
-8.7998901e-03,1.60000e+00,
-8.6998902e-03,1.80000e+00,
-8.5998904e-03,1.80000e+00,
-8.4998906e-03,1.40000e+00,
-8.3998907e-03,1.60000e+00,
-8.2998909e-03,1.40000e+00,
-8.1998911e-03,1.40000e+00,
-8.0998912e-03,1.40000e+00,
-7.9998914e-03,1.40000e+00,
-7.8998916e-03,1.40000e+00,
-7.7998918e-03,1.40000e+00,
-7.6998919e-03,1.20000e+00,
-7.5998921e-03,1.20000e+00,
-7.4998923e-03,1.00000e+00,
-7.3998924e-03,1.00000e+00,
-7.2998926e-03,1.00000e+00,
-7.1998928e-03,7.99999e-01,
-7.0998929e-03,7.99999e-01,
-6.9998931e-03,7.99999e-01,
-6.8998933e-03,6.00000e-01,
-6.7998935e-03,6.00000e-01,
-6.6998936e-03,7.99999e-01,
-6.5998938e-03,6.00000e-01,
-6.4998940e-03,6.00000e-01,
-6.3998941e-03,6.00000e-01,
-6.2998943e-03,6.00000e-01,
-6.1998945e-03,6.00000e-01,
-6.0998946e-03,1.99999e-01,
-5.9998948e-03,1.99999e-01,
-5.8998950e-03,4.00000e-01,
-5.7998952e-03,1.99999e-01,
-5.6998953e-03,-0.00000e+00,
-5.5998955e-03,1.99999e-01,
-5.4998957e-03,-0.00000e+00,
-5.3998958e-03,-0.00000e+00,
-5.2998960e-03,-2.00001e-01,
-5.1998962e-03,-2.00001e-01,
-5.0998963e-03,-2.00001e-01,
-4.9998965e-03,-2.00001e-01,
-4.8998967e-03,-2.00001e-01,
-4.7998969e-03,-2.00001e-01,
-4.6998970e-03,-2.00001e-01,
-4.5998972e-03,-6.00000e-01,
-4.4998974e-03,-2.00001e-01,
-4.3998975e-03,-6.00000e-01,
-4.2998977e-03,-8.00001e-01,
-4.1998979e-03,-8.00001e-01,
-4.0998980e-03,-8.00001e-01,
-3.9998982e-03,-8.00001e-01,
-3.8998981e-03,-1.00000e+00,
-3.7998981e-03,-8.00001e-01,
-3.6998980e-03,-1.00000e+00,
-3.5998980e-03,-1.00000e+00,
-3.4998979e-03,-1.20000e+00,
-3.3998978e-03,-1.20000e+00,
-3.2998978e-03,-1.20000e+00,
-3.1998977e-03,-1.20000e+00,
-3.0998976e-03,-1.20000e+00,
-2.9998976e-03,-1.20000e+00,
-2.8998975e-03,-1.60000e+00,
-2.7998975e-03,-1.20000e+00,
-2.6998974e-03,-1.60000e+00,
-2.5998973e-03,-1.60000e+00,
-2.4998973e-03,-1.60000e+00,
-2.3998972e-03,-1.60000e+00,
-2.2998971e-03,-1.60000e+00,
-2.1998971e-03,-1.60000e+00,
-2.0998970e-03,-1.80000e+00,
-1.9998970e-03,-1.80000e+00,
-1.8998970e-03,-2.00000e+00,
-1.7998971e-03,-1.80000e+00,
-1.6998971e-03,-2.00000e+00,
-1.5998972e-03,-2.00000e+00,
-1.4998972e-03,-2.00000e+00,
-1.3998973e-03,-2.00000e+00,
-1.2998973e-03,-1.80000e+00,
-1.1998974e-03,-1.80000e+00,
-1.0998974e-03,-1.60000e+00,
-9.9989749e-04,-1.60000e+00,
-8.9989748e-04,-1.00000e+00,
-7.9989748e-04,-1.00000e+00,
-6.9989747e-04,-2.00001e-01,
-5.9989747e-04,-2.00001e-01,
-4.9989746e-04,-0.00000e+00,
-3.9989746e-04,-0.00000e+00,
-2.9989745e-04,6.00000e-01,
-1.9989746e-04,4.00000e-01,
-9.9897472e-05,7.99999e-01,
1.0251824e-07,7.99999e-01,
1.0010251e-04,1.00000e+00,
2.0010250e-04,1.20000e+00,
3.0010249e-04,1.40000e+00,
4.0010246e-04,1.40000e+00,
5.0010247e-04,1.60000e+00,
6.0010247e-04,1.60000e+00,
7.0010248e-04,1.60000e+00,
8.0010248e-04,1.60000e+00,
9.0010249e-04,1.80000e+00,
1.0001025e-03,1.80000e+00,
1.1001024e-03,1.80000e+00,
1.2001024e-03,1.80000e+00,
1.3001023e-03,1.60000e+00,
1.4001023e-03,1.80000e+00,
1.5001022e-03,1.60000e+00,
1.6001022e-03,1.60000e+00,
1.7001021e-03,1.40000e+00,
1.8001021e-03,1.40000e+00,
1.9001020e-03,1.40000e+00,
2.0001021e-03,1.40000e+00,
2.1001021e-03,1.40000e+00,
2.2001022e-03,1.40000e+00,
2.3001023e-03,1.20000e+00,
2.4001023e-03,1.40000e+00,
2.5001024e-03,1.00000e+00,
2.6001025e-03,1.00000e+00,
2.7001025e-03,1.00000e+00,
2.8001026e-03,1.00000e+00,
2.9001026e-03,7.99999e-01,
3.0001027e-03,7.99999e-01,
3.1001028e-03,6.00000e-01,
3.2001028e-03,7.99999e-01,
3.3001029e-03,6.00000e-01,
3.4001030e-03,6.00000e-01,
3.5001030e-03,6.00000e-01,
3.6001031e-03,6.00000e-01,
3.7001031e-03,4.00000e-01,
3.8001032e-03,6.00000e-01,
3.9001033e-03,1.99999e-01,
4.0001031e-03,4.00000e-01,
4.1001029e-03,1.99999e-01,
4.2001028e-03,1.99999e-01,
4.3001026e-03,1.99999e-01,
4.4001024e-03,1.99999e-01,
4.5001023e-03,-0.00000e+00,
4.6001021e-03,-0.00000e+00,
4.7001019e-03,-0.00000e+00,
4.8001017e-03,-0.00000e+00,
4.9001016e-03,-2.00001e-01,
5.0001014e-03,-2.00001e-01,
5.1001012e-03,-2.00001e-01,
5.2001011e-03,-2.00001e-01,
5.3001009e-03,-2.00001e-01,
5.4001007e-03,-2.00001e-01,
5.5001006e-03,-6.00000e-01,
5.6001004e-03,-2.00001e-01,
5.7001002e-03,-8.00001e-01,
5.8001000e-03,-2.00001e-01,
5.9000999e-03,-8.00001e-01,
6.0000997e-03,-8.00001e-01,
6.1000995e-03,-1.00000e+00,
6.2000994e-03,-8.00001e-01,
6.3000992e-03,-1.00000e+00,
6.4000990e-03,-1.00000e+00,
6.5000989e-03,-1.20000e+00,
6.6000987e-03,-1.00000e+00,
6.7000985e-03,-1.20000e+00,
6.8000983e-03,-1.00000e+00,
6.9000982e-03,-1.20000e+00,
7.0000980e-03,-1.20000e+00,
7.1000978e-03,-1.20000e+00,
7.2000977e-03,-1.40000e+00,
7.3000975e-03,-1.20000e+00,
7.4000973e-03,-1.60000e+00,
7.5000972e-03,-1.40000e+00,
7.6000970e-03,-1.60000e+00,
7.7000968e-03,-1.60000e+00,
7.8000966e-03,-1.60000e+00,
7.9000965e-03,-1.80000e+00,
8.0000963e-03,-1.80000e+00,
8.1000961e-03,-1.60000e+00,
8.2000960e-03,-1.80000e+00,
8.3000958e-03,-2.00000e+00,
8.4000956e-03,-2.00000e+00,
8.5000955e-03,-2.00000e+00,
8.6000953e-03,-2.00000e+00,
8.7000951e-03,-1.60000e+00,
8.8000949e-03,-2.00000e+00,
8.9000948e-03,-1.60000e+00,
9.0000946e-03,-1.60000e+00,
9.1000944e-03,-1.20000e+00,
9.2000943e-03,-1.20000e+00,
9.3000941e-03,-6.00000e-01,
9.4000939e-03,-2.00001e-01,
9.5000938e-03,-6.00000e-01,
9.6000936e-03,-0.00000e+00,
9.7000934e-03,4.00000e-01,
9.8000932e-03,6.00000e-01,
9.9000931e-03,7.99999e-01,
1.0000093e-02,7.99999e-01,
1.0100093e-02,1.00000e+00,
1.0200093e-02,1.00000e+00,
1.0300092e-02,1.40000e+00,
1.0400092e-02,1.40000e+00,
1.0500092e-02,1.40000e+00,
1.0600092e-02,1.40000e+00,
1.0700092e-02,1.60000e+00,
1.0800092e-02,1.60000e+00,
1.0900091e-02,1.80000e+00,
1.1000091e-02,1.80000e+00,
1.1100091e-02,1.60000e+00,
1.1200091e-02,1.80000e+00,
1.1300091e-02,1.60000e+00,
1.1400091e-02,1.60000e+00,
1.1500090e-02,1.40000e+00,
1.1600090e-02,1.60000e+00,
1.1700090e-02,1.40000e+00,
1.1800090e-02,1.40000e+00,
1.1900090e-02,1.60000e+00,
1.2000090e-02,1.40000e+00,
1.2100089e-02,1.20000e+00,
1.2200089e-02,1.40000e+00,
1.2300089e-02,1.20000e+00,
1.2400089e-02,1.40000e+00,
1.2500089e-02,1.00000e+00,
1.2600088e-02,1.00000e+00,
1.2700088e-02,7.99999e-01,
1.2800088e-02,1.00000e+00,
1.2900088e-02,7.99999e-01,
1.3000088e-02,7.99999e-01,
1.3100088e-02,6.00000e-01,
1.3200087e-02,7.99999e-01,
1.3300087e-02,6.00000e-01,
1.3400087e-02,6.00000e-01,
1.3500087e-02,6.00000e-01,
1.3600087e-02,6.00000e-01,
1.3700087e-02,4.00000e-01,
1.3800086e-02,6.00000e-01,
1.3900086e-02,1.99999e-01,
1.4000086e-02,1.99999e-01,
1.4100086e-02,4.00000e-01,
1.4200086e-02,1.99999e-01,
1.4300086e-02,-0.00000e+00,
1.4400085e-02,1.99999e-01,
1.4500085e-02,-0.00000e+00,
1.4600085e-02,-2.00001e-01,
1.4700085e-02,-0.00000e+00,
1.4800085e-02,-0.00000e+00,
1.4900085e-02,-2.00001e-01,
1.5000084e-02,-2.00001e-01,
1.5100084e-02,-2.00001e-01,
1.5200084e-02,-2.00001e-01,
1.5300084e-02,-6.00000e-01,
1.5400084e-02,-2.00001e-01,
1.5500084e-02,-6.00000e-01,
1.5600083e-02,-2.00001e-01,
1.5700083e-02,-8.00001e-01,
1.5800083e-02,-8.00001e-01,
1.5900083e-02,-8.00001e-01,
1.6000083e-02,-8.00001e-01,
1.6100083e-02,-1.00000e+00,
1.6200082e-02,-1.00000e+00,
1.6300082e-02,-1.20000e+00,
1.6400082e-02,-1.00000e+00,
1.6500082e-02,-1.20000e+00,
1.6600082e-02,-1.20000e+00,
1.6700082e-02,-1.00000e+00,
1.6800081e-02,-1.20000e+00,
1.6900081e-02,-1.20000e+00,
1.7000081e-02,-1.20000e+00,
1.7100081e-02,-1.40000e+00,
1.7200081e-02,-1.20000e+00,
1.7300081e-02,-1.60000e+00,
1.7400080e-02,-1.60000e+00,
1.7500080e-02,-1.60000e+00,
1.7600080e-02,-1.60000e+00,
1.7700080e-02,-1.80000e+00,
1.7800080e-02,-1.60000e+00,
1.7900079e-02,-1.80000e+00,
1.8000079e-02,-1.80000e+00,
1.8100079e-02,-2.00000e+00,
1.8200079e-02,-1.80000e+00,
1.8300079e-02,-2.00000e+00,
1.8400079e-02,-2.00000e+00,
1.8500078e-02,-2.00000e+00,
1.8600078e-02,-2.00000e+00,
1.8700078e-02,-1.80000e+00,
1.8800078e-02,-1.80000e+00,
1.8900078e-02,-1.60000e+00,
1.9000078e-02,-1.60000e+00,
1.9100077e-02,-1.20000e+00,
1.9200077e-02,-1.20000e+00,
1.9300077e-02,-6.00000e-01,
1.9400077e-02,-6.00000e-01,
1.9500077e-02,-0.00000e+00,
1.9600077e-02,-0.00000e+00,
1.9700076e-02,6.00000e-01,
1.9800076e-02,4.00000e-01,
1.9900076e-02,7.99999e-01,
2.0000076e-02,7.99999e-01,
2.0100076e-02,1.00000e+00,
