Sample,Frequency(Hz),Magnitude(dB),Phase(Degrees)
0,10,33.942,179.657
1,10.6326,33.9426,179.62
2,11.3052,33.9515,179.535
3,12.0203,33.9513,179.488
4,12.7807,33.9554,179.563
5,13.5891,33.9658,179.391
6,14.4487,33.9572,179.345
7,15.3627,33.9608,179.38
8,16.3345,33.9634,179.234
9,17.3678,33.9533,179.309
10,18.4665,33.9692,179.219
11,19.6346,33.9669,179.211
12,20.8766,33.9726,179.196
13,22.1972,33.9772,179.052
14,23.6013,33.9746,179.031
15,25.0943,33.972,178.973
16,26.6817,33.971,178.804
17,28.3695,33.9841,178.722
18,30.1641,33.9914,178.761
19,32.0722,33.9853,178.718
20,34.101,33.9934,178.567
21,36.2581,33.9795,178.438
22,38.5517,33.9961,178.378
23,40.9904,33.9957,178.408
24,43.5833,34.0062,178.203
25,46.3403,34.0088,177.955
26,49.2716,33.993,177.947
27,52.3884,33.9883,177.733
28,55.7024,33.9904,177.542
29,59.2259,34.0006,177.516
30,62.9724,33.9766,177.387
31,66.9559,34.0204,177.078
32,71.1913,34.0006,177.098
33,75.6947,33.9822,176.738
34,80.4829,33.997,176.621
35,85.574,33.9926,176.446
36,90.9872,33.9671,176.026
37,96.7428,33.9913,175.807
38,102.862,33.987,175.667
39,109.369,33.9741,175.314
40,116.288,34.0025,174.955
41,123.644,33.9759,174.575
42,131.465,33.9682,174.506
43,139.781,33.9805,174.111
44,148.623,33.9854,173.647
45,158.025,33.9904,173.278
46,168.021,33.9427,172.718
47,178.65,33.9124,172.367
48,189.95,33.954,171.835
49,201.966,33.9275,171.555
50,214.742,33.9428,170.807
51,228.326,33.9606,170.08
52,242.769,33.8925,169.781
53,258.126,33.8617,169.09
54,274.455,33.8072,168.564
55,291.816,33.8677,167.551
56,310.275,33.8301,166.757
57,329.902,33.8614,165.773
58,350.771,33.7827,165.44
59,372.96,33.8301,164.504
60,396.552,33.7804,163.744
61,421.637,33.6507,162.219
62,448.309,33.7036,161.801
63,476.667,33.6939,160.798
64,506.82,33.4878,158.902
65,538.88,33.3893,158.16
66,572.968,33.26,157.126
67,609.213,33.1684,155.631
68,647.75,33.1292,154.04
69,688.725,33.0517,152.828
70,732.291,32.9136,151.992
71,778.614,32.7697,149.678
72,827.867,32.7364,148.336
73,880.236,32.5786,146.83
74,935.917,32.4662,144.718
75,995.12,32.1808,143.392
76,1058.07,31.9666,142.108
77,1125,31.7379,140.059
78,1196.16,31.4263,138.348
79,1271.83,31.2839,136.483
80,1352.28,31.1086,134.796
81,1437.82,30.741,132.974
82,1528.78,30.4879,130.862
83,1625.48,30.1591,129.476
84,1728.31,29.8412,128.411
85,1837.63,29.6051,126.153
86,1953.88,29.1561,124.051
87,2077.47,28.699,122.656
88,2208.89,28.2973,120.434
89,2348.62,27.975,119.675
90,2497.19,27.5548,118.038
91,2655.15,27.1585,116.455
92,2823.11,26.784,115.766
93,3001.69,26.3363,114.572
94,3191.57,25.7294,113.751
95,3393.46,25.4123,112.59
96,3608.12,24.7847,110.318
97,3836.36,24.4678,108.824
98,4079.04,24.0545,107.953
99,4337.06,23.5244,106.819
100,4611.41,23.1065,105.675
101,4903.12,22.3257,103.846
102,5213.28,21.92,104.63
103,5543.06,21.512,103.143
104,5893.69,21.0852,101.787
105,6266.51,20.552,102.307
106,6662.91,20.0275,100.818
107,7084.39,19.3871,100.736
108,7532.53,19.0612,98.364
109,8009.02,18.4237,97.82
110,8515.65,18.2219,98.7577
111,9054.32,17.4565,98.2345
112,9627.07,16.8844,97.2269
113,10236.1,16.3638,96.8024
114,10883.6,15.8526,96.2157
115,11572,15.4022,96.1398
116,12304,14.8935,94.534
117,13082.4,14.3628,95.0661
118,13909.9,13.8349,94.9565
119,14789.8,13.3197,93.7043
120,15725.4,12.7143,93.1946
121,16720.1,12.1055,92.7634
122,17777.8,11.701,92.8565
123,18902.4,11.0518,91.2502
124,20098.1,10.5681,92.2825
125,21369.4,10.1865,90.8404
126,22721.2,9.5586,91.1091
127,24158.5,8.98683,89.4046
128,25686.7,8.69071,90.8911
129,27311.5,7.88309,90.2396
130,29039.2,7.43839,91.341
131,30876.1,6.84687,88.0159
132,32829.3,6.23303,90.5557
133,34905.9,5.87336,88.9491
134,37114,5.3905,89.6052
135,39461.7,4.5746,86.5562
136,41958,4.33506,86.2521
137,44612.1,3.81244,88.3097
138,47434.2,3.24522,86.4917
139,50434.7,2.5762,86.7776
140,53625.1,2.0322,85.1334
141,57017.2,1.4974,85.1425
142,60624,0.858559,85.043
143,64458.9,0.481535,84.3112
144,68536.4,-0.0085606,83.4806
145,72871.8,-0.596919,81.8303
146,77481.5,-1.24359,82.7043
147,82382.7,-1.45842,81.7009
148,87594,-2.19632,82.2318
149,93135,-2.70063,80.2562
150,99026.5,-3.28667,80.6435
151,105291,-3.89782,80.1686
152,111951,-4.44991,79.8432
153,119033,-4.67912,80.5569
154,126562,-5.26419,79.0371
155,134568,-5.65585,77.9572
156,143081,-6.06974,77.0054
157,152132,-6.7671,75.4033
158,161755,-7.1496,75.0142
159,171987,-7.86881,73.5058
160,182867,-8.26224,72.3255
161,194434,-8.83356,70.3054
162,206734,-9.37929,69.9844
163,219811,-9.49768,70.6081
164,233716,-10.3698,68.2994
165,248500,-10.6273,66.3728
166,264219,-11.3536,62.3469
167,280933,-11.5855,63.0337
168,298704,-12.5844,60.6117
169,317599,-12.3164,59.7909
170,337690,-12.8297,54.9241
171,359051,-13.5323,50.6395
172,381764,-14.0704,51.2954
173,405913,-14.0344,45.5517
174,431590,-14.2584,44.0262
175,458891,-15.2053,40.89
176,487919,-15.3624,32.8864
177,518784,-16.3139,32.8637
178,551601,-15.8542,27.5783
179,586493,-17.4444,21.4588
180,623593,-18.4589,13.0986
181,663040,-18.2992,5.62525
182,704982,-18.879,-2.8564
183,749577,-19.2053,-11.2566
184,796994,-22.4046,-13.6875
185,847409,-23.3952,-28.0713
186,901014,-25.2701,-31.3568
187,958010,-26.7346,-48.0236
188,1.01861e+06,-29.0794,-22.8806
189,1.08305e+06,-29.7774,-34.6864
190,1.15156e+06,-35.9462,-67.8203
191,1.2244e+06,-38.9078,-73.3585
192,1.30185e+06,-44.1424,-31.1211
193,1.3842e+06,-48.3846,-83.643
194,1.47176e+06,-50.3881,-170.809
195,1.56486e+06,-48.9221,-13.5546
196,1.66385e+06,-39.0942,88.6062
197,1.7691e+06,-36.3593,114.359
198,1.88101e+06,-29.8015,66.8323
199,2e+06,-24.395,51.2781
